"sample","PC1","PC2","PC3","group","database"
"GSE13355|GSM337258",-38.5970549678915,-36.0730868726356,-3.15924440602545,"NN","GSE13355"
"GSE13355|GSM337259",-36.8425777488889,-33.0767678645525,12.2979570561145,"NN","GSE13355"
"GSE13355|GSM337260",-58.7356846017602,-31.6116364422533,-30.4930224166186,"NN","GSE13355"
"GSE13355|GSM337319",81.8737725870835,-2.17560685280002,43.3139246201389,"PP","GSE13355"
"GSE13355|GSM337320",48.0739545314631,-4.6989221334245,-3.63648686300969,"PP","GSE13355"
"GSE13355|GSM337321",70.5757701722251,-14.8314611147211,39.2817576555111,"PP","GSE13355"
"GSE13355|GSM337322",58.9646660503436,1.29951349626081,2.11725746432696,"PP","GSE13355"
"GSE13355|GSM337323",40.9657014268881,-0.0863185266868181,45.7283495895689,"PP","GSE13355"
"GSE13355|GSM337324",71.6270161452487,-0.862205050033562,39.7546214586821,"PP","GSE13355"
"GSE13355|GSM337325",60.8436010864711,-15.1316232614843,57.1729676465545,"PP","GSE13355"
"GSE13355|GSM337326",53.7374360421652,-11.0080648479436,69.4921359337063,"PP","GSE13355"
"GSE13355|GSM337327",39.1708594093273,-4.3248843013204,10.8066015574104,"PP","GSE13355"
"GSE13355|GSM337328",55.5694106659855,4.86216538024806,22.2959197115366,"PP","GSE13355"
"GSE13355|GSM337329",73.6697825656717,-14.4459555193223,55.9159689709696,"PP","GSE13355"
"GSE13355|GSM337330",52.7639689111656,-9.39072990017172,-21.4502415639942,"PP","GSE13355"
"GSE13355|GSM337331",67.4341384907267,-10.4128293522181,28.3531141651386,"PP","GSE13355"
"GSE13355|GSM337332",78.3576642785514,-4.36357420974272,42.5958082491838,"PP","GSE13355"
"GSE13355|GSM337333",72.2714183734269,-6.98343737742566,20.4521562537251,"PP","GSE13355"
"GSE13355|GSM337334",27.370778297602,-11.8678148321474,8.62647461962349,"PP","GSE13355"
"GSE13355|GSM337335",72.098861253531,-0.0964522658182861,-9.18761447821191,"PP","GSE13355"
"GSE13355|GSM337336",23.4286264103076,2.55016241331412,-31.801313681737,"PP","GSE13355"
"GSE13355|GSM337337",32.7672593185469,0.900305806287684,10.2775107971246,"PP","GSE13355"
"GSE13355|GSM337338",63.0291974997736,-5.84750801759762,-3.73576205560791,"PP","GSE13355"
"GSE13355|GSM337339",22.4421387308185,46.0584489294336,-27.4858071686161,"PP","GSE13355"
"GSE13355|GSM337340",12.4154924704517,42.0055030754296,-22.3825889274067,"PP","GSE13355"
"GSE13355|GSM337341",44.5623294077495,44.3606734403564,8.51162205376434,"PP","GSE13355"
"GSE13355|GSM337342",66.0837988521757,35.0234194524868,4.24306001678943,"PP","GSE13355"
"GSE13355|GSM337343",-1.04227609194828,39.8374868272198,-0.319822522939687,"PP","GSE13355"
"GSE13355|GSM337344",57.8539569147826,36.8599210728595,-13.6979274644792,"PP","GSE13355"
"GSE13355|GSM337345",39.4607214089303,40.8274943350499,-18.6385442668737,"PP","GSE13355"
"GSE13355|GSM337346",68.1054701858858,34.7689120171728,-10.1246549390035,"PP","GSE13355"
"GSE13355|GSM337347",77.1122888243933,36.627346155536,24.6634017096241,"PP","GSE13355"
"GSE13355|GSM337348",56.4478984525487,28.2768103051025,-0.0231606584617466,"PP","GSE13355"
"GSE13355|GSM337349",51.9446273185407,48.3242063629816,2.83861089525037,"PP","GSE13355"
"GSE13355|GSM337350",37.3516477842874,48.6434461030997,-22.9874211292863,"PP","GSE13355"
"GSE13355|GSM337351",42.5372036289956,55.6370091022191,-4.03005002659157,"PP","GSE13355"
"GSE13355|GSM337352",39.7828638664573,44.9493644812908,-23.6994539046778,"PP","GSE13355"
"GSE13355|GSM337353",41.9632823940038,37.7897207064965,-7.95334980829754,"PP","GSE13355"
"GSE13355|GSM337354",47.7092798381092,23.7822792801088,-16.4046557390139,"PP","GSE13355"
"GSE13355|GSM337355",20.2840752307453,36.396188392295,-30.4825944405835,"PP","GSE13355"
"GSE13355|GSM337356",66.5821391601775,23.966324455793,11.5876030527505,"PP","GSE13355"
